113.185.19.134:8080, False
61.29.96.146:80, True
80.191.174.220:8080, True
36.80.17.31:8080, True
181.106.205.122:7071, False
103.143.196.26:8080, False
51.158.78.179:8811, True
112.133.214.244:80, False
15.165.85.203:3128, True
103.133.223.51:80, False
50.233.228.147:8080, False
42.3.51.114:80, False
47.90.97.8:8080, False
217.61.6.130:80, False
45.32.119.166:3128, True
51.158.186.255:8811, True
161.35.130.184:8080, False
47.91.105.34:80, False
52.65.238.84:3128, False
209.97.150.167:8080, False
46.4.96.137:3128, False
88.198.50.103:8080, False
138.68.60.8:3128, False
191.233.198.207:8080, False
41.188.164.223:80, False
71.183.100.116:80, False
176.9.75.42:8080, False
103.139.9.179:8080, False
103.105.77.19:8080, True
75.150.251.146:3128, False
139.162.78.109:8080, False
112.133.214.240:80, False
47.88.7.18:8088, False
35.220.131.188:80, False
182.16.246.201:8080, False
89.20.135.204:10000, False
45.64.99.26:8080, True
186.211.176.190:58033, True
140.227.237.154:1000, True
149.28.137.222:3128, True
46.174.234.189:52233, True
51.158.119.88:8811, True
182.16.246.4:8080, True
18.224.39.7:8080, False
165.22.213.55:3128, True
150.242.182.98:80, True
104.154.143.77:3128, True
161.35.98.177:8080, False
47.88.16.118:3128, True
165.227.202.9:80, False
41.188.164.222:80, False
167.172.136.107:80, False
139.180.188.35:3128, False
203.162.21.216:8000, True
91.67.240.45:3128, True
92.222.180.156:8080, False
47.52.231.140:8080, False
163.172.146.119:8811, True
203.202.245.58:80, False
46.235.53.26:3128, True
159.138.20.247:80, False
185.134.23.198:80, False
149.129.240.89:8080, False
123.194.231.55:8197, False
176.9.119.170:8080, False
47.75.71.222:3000, False
192.41.71.199:3128, True
154.127.119.93:80, False
88.198.24.108:8080, False
5.252.161.48:8080, False
191.96.42.80:3128, False
207.154.231.213:8080, False
150.66.1.137:80, False
203.19.88.51:80, False
51.158.172.165:8811, True
45.188.156.154:8080, False
51.158.165.18:8811, True
192.121.232.96:80, False
